#OTUID	taxonomy	confidence
e0adc15aee3357a50d9383447fcedffb	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Orbales;D_4__Orbaceae	0.9999999558731543
471850884cfc7c35b5a64cff8e6d4a83	D_0__Bacteria	0.9749610809187765
3cbad06ae678c556896bb4608676c7f3	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	0.9977746166211617
cf218a8ffb4c5c54037350c30423097a	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9828250781026391
e6017f6d1f6a15bca349990a73be2938	D_0__Bacteria	0.9269512637461143
c15680045e0a978c477bde8130422898	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9999999842777499
063b0a268aa5b698708bfde00734ae77	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Mitochondria	0.9929427721545178
412f4071ed268d8f613e4082a284c76c	D_0__Bacteria	0.9033346554126502
b60593a7dcbd837be0052b327c81e774	D_0__Bacteria	0.9121961921019446
1a7a55d96c11e1ea5b8865ed7f8d733d	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Orbales;D_4__Orbaceae;D_5__uncultured gamma proteobacterium;D_6__uncultured gamma proteobacterium	0.7109373989124398
58ed9a40d79c359caaa8bb2291d2ceb1	D_0__Bacteria	0.894702213870475
2225887b46152150d3367e1e541a16a5	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Snodgrassella;D_6__Snodgrassella alvi wkB2	0.9279189159031203
c758b025745c73f40522aa56712b0d34	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9995925691248887
7144669b999973a603247c5ab9fd88e2	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Snodgrassella	0.9999667277976498
e0f699602ab8b64fd02afb3fc43daa96	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	0.9999992695075998
779accda3cd70259c132be89ed4983c2	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus;D_6__Lactobacillus apis	0.9139854704614664
413158a3bbf506f6e9400f96ffaaf83c	D_0__Bacteria	0.9813287742980354
ff266e5b4ca1b18d47d32d20289aad66	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	0.999930939567224
fbc3b165c04ead15427402e0272b39e9	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	0.9999309394666732
53aead0124dd62f50de4bf06f47ac96e	D_0__Bacteria	0.910892487215741
78a15f4df6d6dfb3478ead8deac12d8b	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Neisseriaceae;D_5__Snodgrassella;D_6__Snodgrassella alvi wkB2	0.7784145016725981
