SampleID	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2
X10.G3.1	run_two	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	10_3	cycle_1	Glyphosate_cycle_1	Glyphosate_cycle_2
X10.G3.5	run_two	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	10_3	cycle_1	Glyphosate_cycle_1	Glyphosate_cycle_2
X10.G3.9	run_one	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	10_3	cycle_1	Glyphosate_cycle_1	Glyphosate_cycle_2
X16.3.C1	run_one	Control_transfer	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	16_3	cycle_2	Control_cycle_2	Control_transfer_to_cycle_3
X16.3.C2	run_one	Control_transfer	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	16_3	cycle_2	Control_cycle_2	Control_transfer_to_cycle_3
X16.3.C3	run_one	Control_transfer	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	16_3	cycle_2	Control_cycle_2	Control_transfer_to_cycle_3
X16.3.Ch1	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_1	Chlorothalonil_transfer_cage_1	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3
X16.3.Ch2	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_2	Chlorothalonil_transfer_cage_2	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3
X16.3.Ch3	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_3	Chlorothalonil_transfer_cage_3	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3
X16.3.G1	run_one	Glyphosate_transfer	Glyphosate	microbiome_transfer	cage_1	Glyphosate_transfer_cage_1	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_transfer_to_cycle_3
