SampleID	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X10.G1.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G1.2	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G1.5	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G2.2	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G2.4	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G2.5	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G3.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G3.5	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X10.G3.9	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_cycle_2	Glyphosate_cycle_1
X16.3.C1	Control_transfer	Control	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	16_3	cycle_two	Control_cycle_2	Control_transfer_to_cycle_3	Control_cycle_2
X16.3.C2	Control_transfer	Control	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	16_3	cycle_two	Control_cycle_2	Control_transfer_to_cycle_3	Control_cycle_2
X16.3.C3	Control_transfer	Control	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	16_3	cycle_two	Control_cycle_2	Control_transfer_to_cycle_3	Control_cycle_2
X16.3.Ch1	Chlorothalonil_transfer	Chlorothalonil	Chlorothalonil	microbiome_transfer	cage_1	Chlorothalonil_transfer_cage_1	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3	Chlorothalonil_cycle_2
X16.3.Ch2	Chlorothalonil_transfer	Chlorothalonil	Chlorothalonil	microbiome_transfer	cage_2	Chlorothalonil_transfer_cage_2	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3	Chlorothalonil_cycle_2
X16.3.Ch3	Chlorothalonil_transfer	Chlorothalonil	Chlorothalonil	microbiome_transfer	cage_3	Chlorothalonil_transfer_cage_3	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_transfer_to_cycle_3	Chlorothalonil_cycle_2
X16.3.G1	Glyphosate_transfer	Glyphosate	Glyphosate	microbiome_transfer	cage_1	Glyphosate_transfer_cage_1	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_transfer_to_cycle_3	Glyphosate_cycle_2
X16.3.G2	Glyphosate_transfer	Glyphosate	Glyphosate	microbiome_transfer	cage_2	Glyphosate_transfer_cage_2	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_transfer_to_cycle_3	Glyphosate_cycle_2
X16.3.G3	Glyphosate_transfer	Glyphosate	Glyphosate	microbiome_transfer	cage_3	Glyphosate_transfer_cage_3	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_transfer_to_cycle_3	Glyphosate_cycle_2
X16.3.T1	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_1	Tetracycline_transfer_cage_1	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3	Tetracycline_cycle_2
X16.3.T2	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_2	Tetracycline_transfer_cage_2	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3	Tetracycline_cycle_2
X16.3.T3	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_3	Tetracycline_transfer_cage_3	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3	Tetracycline_cycle_2
X16.C1.4	Control	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C1.5	Control	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C1.8	Control	Control	Control	single_bee	cage_1	Control_cage_1	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C2.10	Control	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C2.5	Control	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C2.8	Control	Control	Control	single_bee	cage_2	Control_cage_2	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C3.2	Control	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C3.3	Control	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.C3.7	Control	Control	Control	single_bee	cage_3	Control_cage_3	16_3	cycle_two	Control_cycle_2	Control_cycle_3	Control_cycle_2
X16.Ch1.4	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch1.5	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch1.9	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch2.2	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch2.6	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch2.8	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch3.2	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch3.4	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.Ch3.6	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_two	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3	Chlorothalonil_cycle_2
X16.G1.5	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
X16.G1.7	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	16_3	cycle_two	Glyphosate_cycle_2	Glyphosate_cycle_3	Glyphosate_cycle_2
