SampleID	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X21.G1.3	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G2.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G2.2	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G2.3	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G3.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G3.3	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.G3.4	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	21_3	cycle_three_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress	Glyphosate_cycle_3_before_stress
X21.T1.1	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T1.2	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T1.4	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T2.1	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T2.2	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T2.3	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T3.1	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T3.3	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X21.T3.4	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	21_3	cycle_three_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress	Tetracycline_cycle_3_before_stress
X22.C1.T.1	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C1.T.2	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C1.T.4	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C1.T.5	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C2.Ch.1	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_2	control_Chlorothalonil_cage_2	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C2.Ch.2	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_2	control_Chlorothalonil_cage_2	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C2.Ch.3	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_2	control_Chlorothalonil_cage_2	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.1	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.2	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.3	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.Ch.4	control_Chlorothalonil	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_3	control_Chlorothalonil_cage_3	22_3	cycle_three_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress	control_Chlorothalonil_cycle_3_after_stress
X22.C3.T.1	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C3.T.2	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C3.T.4	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.C3.T.6	control_Tetracycline	control_Tetracycline	control_Tetracycline	single_bee	cage_3	control_Tetracycline_cage_3	22_3	cycle_three_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress	control_Tetracycline_cycle_3_after_stress
X22.Ch1.1	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch1.2	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch1.3	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch2.1	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch2.2	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch2.3	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_2	Chlorothalonil_cage_2	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch3.3	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch3.5	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.Ch3.6	Chlorothalonil	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	22_3	cycle_three_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress	Chlorothalonil_cycle_3_after_stress
X22.T2.1	Tetracycline	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	22_3	cycle_three_after_stress	Tetracycline_cycle_3_after_stress	Tetracycline_cycle_3_after_stress	Tetracycline_cycle_3_after_stress
X23.C1.G.2	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_1	control_Glyphosate_cage_1	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C1.G.4	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_1	control_Glyphosate_cage_1	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C1.G.6	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_1	control_Glyphosate_cage_1	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C2.G.1	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_2	control_Glyphosate_cage_2	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C2.G.3	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_2	control_Glyphosate_cage_2	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C2.G.4	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_2	control_Glyphosate_cage_2	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C3.G.4	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_3	control_Glyphosate_cage_3	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C3.G.6	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_3	control_Glyphosate_cage_3	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.C3.G.9	control_Glyphosate	control_Glyphosate	control_Glyphosate	single_bee	cage_3	control_Glyphosate_cage_3	23_3	cycle_three_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress	control_Glyphosate_cycle_3_after_stress
X23.G1.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G1.4	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G1.8	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G2.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G2.2	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G2.3	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G3.1	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G3.3	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X23.G3.9	Glyphosate	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	23_3	cycle_three_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress	Glyphosate_cycle_3_after_stress
X28.2.SP	start_microbiome	start_microbiome	start_microbiome	start_microbiome	start_microbiome	start_microbiome	28_2	start_microbiome	start_microbiome	start_microbiome	start_microbiome
NB.1	hive_bee	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee
NB.2	hive_bee	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee
NB.4	hive_bee	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee
NB.6	hive_bee	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee
NB.8	hive_bee	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee
NB.9	hive_bee	hive_bee	hive_bee	single_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee	hive_bee
PC.1	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control
PC.2	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control	positive_control
