gene,go
GB19973,GO:0006913
GB17795,GO:0016021
GB17795,GO:0005319
GB17836,GO:0016021
GB17836,GO:0005452
GB17836,GO:0006812
GB17773,GO:0000166
GB17773,GO:0003774
GB17773,GO:0003676
GB17000,GO:0030054
GB17000,GO:0016021
GB17000,GO:0048786
GB17000,GO:0005319
GB18299,GO:0016021
GB12283,GO:0016021
GB12283,GO:0003824
GB12283,GO:0030151
GB12283,GO:0048038
GB14909,GO:0016021
GB11120,GO:0005515
GB10140,GO:0000287
GB13168,GO:0000166
GB11326,GO:0005622
GB11326,GO:0005215
GB12135,GO:0016021
GB12135,GO:0005452
GB30200,GO:0042302
GB16178,GO:0016021
GB16178,GO:0004871
GB19510,GO:0016021
GB19510,GO:0000166
GB19510,GO:0005452
GB19510,GO:0000287
GB18517,GO:0016021
GB18517,GO:0019058
GB17442,GO:0016021
GB17442,GO:0019058
GB17199,GO:0005737
GB17199,GO:0008241
GB17199,GO:0006914
GB17199,GO:0015031
GB14882,GO:0005794
GB14882,GO:0005667
GB14882,GO:0003723
GB14882,GO:0003700
GB14882,GO:0006396
GB15728,GO:0030553
GB15728,GO:0003774
GB15728,GO:0006897
GB17085,GO:0016788
GB16039,GO:0000166
GB16039,GO:0003774
GB12344,GO:0006979
GB15709,GO:0005622
GB15709,GO:0015031
GB11787,GO:0016021
GB16746,GO:0016021
GB15340,GO:0003774
GB15340,GO:0006979
GB10390,GO:0005737
GB10390,GO:0005794
GB10390,GO:0006511
GB12570,GO:0070836
GB12723,GO:0000795
GB12723,GO:0070836
GB18363,GO:0005549
GB13254,GO:0005622
GB13254,GO:0015031
GB13254,GO:0016192
GB14796,GO:0005794
GB14796,GO:0016021
GB12870,GO:0005623
GB12870,GO:0009055
GB12870,GO:0015035
GB12870,GO:0006885
GB17369,GO:0005515
GB14563,GO:0016021
GB16445,GO:0016021
GB16445,GO:0005794
GB16445,GO:0008137
GB19341,GO:0004781
GB19341,GO:0003676
GB19341,GO:0006396
GB10958,GO:0030151
GB10958,GO:0016491
GB15242,GO:0000166
GB18538,GO:0005856
GB18538,GO:0003774
GB17724,GO:0004035
GB17724,GO:0006979
GB10142,GO:0048038
GB10142,GO:0046562
GB10539,GO:0004842
GB10539,GO:0030151
GB15016,GO:0000166
GB19590,GO:0016021
GB19590,GO:0008241
GB19405,GO:0016021
GB19405,GO:0005452
GB19405,GO:0006812
GB15729,GO:0003723
GB15729,GO:0004781
GB15729,GO:0030151
GB15729,GO:0006396
GB17360,GO:0030151
GB11840,GO:0016021
GB11840,GO:0005765
GB11840,GO:0005452
GB11840,GO:0006812
GB18764,GO:0003729
GB14113,GO:0005794
GB14113,GO:0000166
GB14113,GO:0003774
GB14113,GO:0003723
GB14113,GO:0030151
GB14113,GO:0006396
GB12479,GO:0003755
GB12479,GO:0006508
GB13051,GO:0005509
GB12845,GO:0030151
GB18440,GO:0005515
GB17524,GO:0000166
GB18443,GO:0016021
GB19392,GO:0005576
GB19392,GO:0019058
GB19392,GO:0097531
GB19774,GO:0016021
GB30442,GO:0016021
GB30442,GO:0005549
GB30442,GO:0004871
GB10726,GO:0000166
GB10726,GO:0003774
GB10726,GO:0003676
GB14848,GO:0030136
GB14848,GO:0019992
GB14848,GO:0006897
GB14372,GO:0016740
GB10980,GO:0016021
GB19026,GO:0005737
GB19026,GO:0005794
GB19026,GO:0000166
GB19026,GO:0003723
GB17870,GO:0006270
GB17870,GO:0055114
GB16701,GO:0016021
GB14306,GO:0016021
GB14306,GO:0005452
GB10455,GO:0005856
GB10455,GO:0005200
GB10455,GO:0002128
GB14218,GO:0005794
GB14218,GO:0030151
GB12430,GO:0005515
GB13762,GO:0003723
GB12656,GO:0016021
GB17941,GO:0031225
GB17941,GO:0008241
GB17941,GO:0000287
GB12463,GO:0004871
GB12463,GO:0070836
GB16312,GO:0005794
GB16312,GO:0016021
GB16312,GO:0005509
GB17707,GO:0005737
GB17707,GO:0004070
GB17707,GO:0002181
GB17707,GO:0002128
GB12243,GO:0005856
GB12243,GO:0005200
GB12243,GO:0002128
GB12243,GO:0030151
GB15196,GO:0030054
GB15196,GO:0016021
GB15196,GO:0048786
GB15196,GO:0005319
GB17469,GO:0005515
GB17379,GO:0005622
GB17379,GO:0030553
GB17379,GO:0003774
GB17379,GO:0003729
GB19394,GO:0004035
GB12373,GO:0005794
GB12373,GO:0003723
GB12373,GO:0048038
GB12373,GO:0030151
GB14122,GO:0005515
GB17617,GO:0005515
GB14934,GO:0005737
GB14934,GO:0000166
GB16322,GO:0005319
GB16322,GO:0015031
GB16322,GO:0016192
GB14557,GO:0006541
GB16410,GO:0016021
GB19815,GO:0006396
GB14413,GO:0004070
GB16718,GO:0016021
GB16499,GO:0016021
GB16499,GO:0006812
GB12955,GO:0005856
GB10553,GO:0005622
GB10553,GO:0030553
GB10553,GO:0048015
GB18252,GO:0016021
GB18252,GO:0005886
GB18252,GO:0005509
GB18252,GO:0007155
GB10318,GO:0005737
GB10318,GO:0005794
GB10318,GO:0003723
GB10318,GO:0002128
GB18422,GO:0016021
GB18422,GO:0005452
GB19662,GO:0016021
GB19662,GO:0006812
GB15877,GO:0005732
GB15877,GO:0000795
GB15877,GO:0003723
GB15877,GO:0002128
GB14513,GO:0004020
GB14513,GO:0006744
GB14513,GO:0042427
GB14052,GO:0016021
GB12251,GO:0005856
GB12251,GO:0003777
GB12251,GO:0019992
GB12251,GO:0051013
GB11643,GO:0030529
GB11643,GO:0070836
GB15393,GO:0003676
GB15393,GO:0030151
GB17494,GO:0036459
GB17494,GO:0016579
GB17494,GO:0006511
GB10713,GO:0016021
GB19975,GO:0005622
GB19975,GO:0030553
GB19975,GO:0048015
GB19547,GO:0016021
GB19547,GO:0006812
GB18430,GO:0030131
GB18430,GO:0015031
GB18430,GO:0016192
GB14741,GO:0016021
GB13989,GO:0005794
GB13989,GO:0002128
GB11365,GO:0016021
GB11365,GO:0008241
GB15378,GO:0005515
GB14718,GO:0000795
GB19175,GO:0005576
GB19175,GO:0008061
GB19175,GO:0006030
GB14599,GO:0004035
GB11143,GO:0005794
GB11143,GO:0016021
GB15622,GO:0006744
GB19568,GO:0000287
GB13011,GO:0016021
GB13011,GO:0005886
GB13011,GO:0005549
GB13011,GO:0004871
GB13362,GO:0003723
GB12717,GO:0016021
GB18032,GO:0005737
GB18032,GO:0005794
GB18032,GO:0003723
GB18032,GO:0003700
GB14051,GO:0008177
GB14051,GO:0048038
GB19627,GO:0005856
GB19627,GO:0000166
GB19627,GO:0003777
GB19627,GO:0051013
GB16485,GO:0005452
GB10751,GO:0000287
GB10751,GO:0003676
GB12277,GO:0016021
GB15867,GO:0006914
GB19701,GO:0005623
GB19701,GO:0000166
GB19701,GO:0009448
GB12953,GO:0005515
GB14351,GO:0016021
GB10944,GO:0005856
GB10944,GO:0005200
GB10944,GO:0002128
GB10343,GO:0005856
GB10343,GO:0005200
GB10343,GO:0002128
GB18574,GO:0004070
GB11666,GO:0003723
GB15141,GO:0016021
GB13624,GO:0016021
GB13624,GO:0005886
GB13624,GO:0005509
GB13624,GO:0007155
GB14628,GO:0004415
GB14628,GO:0005975
GB17080,GO:0003824
GB13740,GO:0005794
GB13740,GO:0006396
GB10751,GO:0000287
GB10751,GO:0003676
GB14327,GO:0005515
GB10041,GO:0000287
GB18969,GO:0005737
GB18969,GO:0000166
GB18107,GO:0006812
GB13835,GO:0016021
GB13835,GO:0005319
GB17674,GO:0016021
GB19141,GO:0016021
GB12371,GO:0016021
GB12833,GO:0005515
GB10295,GO:0002128
GB19257,GO:0016021
GB19257,GO:0005319
GB19257,GO:0030054
GB19257,GO:0048786
GB17045,GO:0051537
GB17045,GO:0009055
GB17045,GO:0048038
GB17045,GO:0030151
GB17045,GO:0046562
GB19403,GO:0000795
GB19403,GO:0002128
GB13105,GO:0016021
GB19373,GO:0005737
GB19373,GO:0008241
GB11147,GO:0018095
GB15166,GO:0008483
GB15166,GO:0048038
GB15166,GO:0006541
GB15166,GO:0009058
GB17550,GO:0005737
GB17550,GO:0000166
GB12457,GO:0016021
GB20093,GO:0016021
GB20093,GO:0005622
GB20093,GO:0005085
GB20093,GO:0048015
GB19731,GO:0005515
GB15878,GO:0016021
GB15878,GO:0004871
GB10152,GO:0016021
GB10152,GO:0005886
GB10152,GO:0005509
GB10152,GO:0007155
GB10982,GO:0005856
GB10982,GO:0070836
GB17862,GO:0005794
GB17862,GO:0016021
GB14437,GO:0016787
GB14437,GO:0004842
GB10212,GO:0005622
GB10212,GO:0000287
GB10212,GO:0006979
GB19199,GO:0045202
GB19199,GO:0050808
GB11250,GO:0000287
GB19823,GO:0000166
GB19823,GO:0004020
GB17641,GO:0003824
GB17641,GO:0048038
GB17641,GO:0009058
GB11301,GO:0000166
GB11301,GO:0004020
GB10931,GO:0000287
GB10521,GO:0005856
GB10521,GO:0005200
GB10521,GO:0002128
GB13610,GO:0016021
GB13610,GO:0005509
GB13610,GO:0007155
GB11337,GO:0005515
GB11058,GO:0016021
GB14011,GO:0005515
GB18063,GO:0005794
GB18063,GO:0043565
GB18063,GO:0003700
GB18063,GO:0019058
GB19756,GO:0016021
GB16325,GO:0005622
GB16325,GO:0004781
GB16325,GO:0003676
GB16325,GO:0000166
GB16325,GO:0006396
GB15151,GO:0005794
GB15151,GO:0000166
GB15151,GO:0003774
GB15151,GO:0003723
